step	train_loss
0	4.080180143201074
1	3.3816477642502893
2	3.0407510718633963
3	2.7862985078678575
4	2.567530313203501
5	2.3876864189325375
6	2.2099976539611816
7	2.0551914933115936
8	1.9398053745890773
9	1.8646060949148133
10	2.257854187211325
11	2.10262901006743
12	1.9609373974245647
13	1.8350879161856894
14	1.7777543400609217
15	1.6737811080245084
16	1.6013499332028767
17	1.5658437554226365
18	1.518766606962958
19	1.4537611867106237
20	1.4288503444472025
21	1.369515055833861
22	1.3366197278333265
23	1.3069243361783582
24	1.2732454136360523
25	1.2527628748915915
26	1.2251318859499554
27	1.2085996866226196
28	1.1830640005510906
29	1.1613216427869575
30	1.1499363170113674
31	1.1239924430847168
32	1.1085858435131783
33	1.1036230304906534
34	1.0797888435596643
35	1.0669187598450238
36	1.0475803780001263
37	1.0557430892489676
38	1.0256110360456068
39	1.0115725571332976
40	0.9878939923851989
41	0.9865069320035535
42	0.9768362059149631
43	0.9641247045162112
44	0.9537869580956393
45	0.9384170202321784
46	0.9344260831211888
47	0.925715739643851
48	0.9177249656167141
49	0.909873083580372
50	0.9005734456139941
51	0.88740018633909
52	0.8734441940174547
53	0.8772958101228227
54	0.8647807843463365
55	0.857336396394774
56	0.8504098466662473
57	0.8361451445623885
58	0.8293941152650256
59	0.8192421773145365
60	0.817950495453768
61	0.8128992076530013
62	0.80626851250959
63	0.794594694708669
64	0.7837078342604082
65	0.7897854128549265
66	0.7758125517257425
67	0.7671849041484123
68	0.7548398188380308
69	0.7557369006234546
70	0.7500562771808269
71	0.7472380566042524
72	0.7421682733435964
73	0.728042682242948
74	0.7210371431916259
75	0.7187856193198714
76	0.7127140892106433
77	0.7088394165039062
78	0.706257585869279
79	0.6972962867381961
80	0.698466605918352
81	0.6883446560349575
82	0.6854680665703707
83	0.6843771497870601
84	0.6802774452885916
85	0.6720267194648122
86	0.6701021464758141
87	0.6665166186731916
88	0.6619269591431285
89	0.6600803933864416
90	0.6551196810811065
91	0.6552652439405752
92	0.6515257171420163
93	0.6478432458500529
94	0.6446303787619568
95	0.6414482829182647
96	0.6436243750328241
97	0.642796301564505
98	0.6384022617062857
99	0.6343167902425279
