step	lr
0	0.009755282581475769
1	0.009045084971874737
2	0.007938926261462366
3	0.006545084971874737
4	0.005
5	0.003454915028125263
6	0.0020610737385376348
7	0.0009549150281252633
8	0.00024471741852423234
9	0.01
10	0.009997532801828659
11	0.009990133642141357
12	0.0099778098230154
13	0.00996057350657239
14	0.009938441702975689
15	0.009911436253643444
16	0.009879583809693738
17	0.009842915805643155
18	0.009801468428384716
19	0.009755282581475769
20	0.009704403844771128
21	0.009648882429441256
22	0.009588773128419905
23	0.009524135262330098
24	0.00945503262094184
25	0.009381533400219317
26	0.009303710135019719
27	0.009221639627510075
28	0.009135402871372808
29	0.009045084971874737
30	0.008950775061878451
31	0.008852566213878947
32	0.008750555348152299
33	0.008644843137107058
34	0.008535533905932738
35	0.008422735529643444
36	0.00830655932661826
37	0.008187119948743448
38	0.008064535268264884
39	0.007938926261462366
40	0.007810416889260654
41	0.007679133974894983
42	0.0075452070787518566
43	0.0074087683705085765
44	0.007269952498697734
45	0.007128896457825364
46	0.006985739453173902
47	0.006840622763423391
48	0.0066936896012264584
49	0.006545084971874737
50	0.006394955530196147
51	0.006243449435824273
52	0.0060907162069827134
53	0.005936906572928624
54	0.0057821723252011546
55	0.005626666167821522
56	0.005470541566592572
57	0.005313952597646567
58	0.005157053795390641
59	0.005
60	0.004842946204609359
61	0.004686047402353433
62	0.004529458433407428
63	0.004373333832178479
64	0.004217827674798846
65	0.004063093427071377
66	0.0039092837930172885
67	0.0037565505641757257
68	0.003605044469803854
69	0.0034549150281252645
70	0.003306310398773543
71	0.0031593772365766117
72	0.0030142605468260965
73	0.0028711035421746366
74	0.0027300475013022664
75	0.002591231629491423
76	0.0024547929212481437
77	0.0023208660251050157
78	0.0021895831107393467
79	0.0020610737385376348
80	0.001935464731735117
81	0.0018128800512565513
82	0.0016934406733817415
83	0.0015772644703565563
84	0.0014644660940672626
85	0.0013551568628929435
86	0.001249444651847702
87	0.0011474337861210543
88	0.001049224938121548
89	0.0009549150281252633
90	0.0008645971286271914
91	0.0007783603724899257
92	0.0006962898649802812
93	0.0006184665997806821
94	0.0005449673790581611
95	0.00047586473766990324
96	0.0004112268715800954
97	0.0003511175705587433
98	0.00029559615522887275
99	0.00024471741852423234
